0.000000000000000000e+00,1.013250000000000000e+05,1.225000018124287937e+00,3.402939880260889822e+02,1.460718572737223719e-05
1.000000000000000000e+01,1.012049263752171100e+05,1.223824416944011784e+00,3.402556046806912491e+02,1.461865447808519261e-05
2.000000000000000000e+01,1.010849683722492628e+05,1.222649682756704603e+00,3.402172171256639217e+02,1.463013463910012849e-05
3.000000000000000000e+01,1.009651259053691901e+05,1.221475815114860586e+00,3.401788253595813671e+02,1.464162622418603636e-05
4.000000000000000000e+01,1.008453988888942258e+05,1.220302813571106038e+00,3.401404293810170998e+02,1.465312924713148264e-05
5.000000000000000000e+01,1.007257872371865087e+05,1.219130677678201602e+00,3.401020291885437246e+02,1.466464372174460194e-05
6.000000000000000000e+01,1.006062908646526921e+05,1.217959406989038706e+00,3.400636247807332779e+02,1.467616966185315460e-05
7.000000000000000000e+01,1.004869096857441327e+05,1.216789001056642006e+00,3.400252161561568300e+02,1.468770708130457924e-05
8.000000000000000000e+01,1.003676436149567744e+05,1.215619459434169825e+00,3.399868033133846552e+02,1.469925599396594700e-05
9.000000000000000000e+01,1.002484925668312935e+05,1.214450781674913049e+00,3.399483862509864025e+02,1.471081641372407507e-05
1.000000000000000000e+02,1.001294564559528953e+05,1.213282967332296014e+00,3.399099649675306409e+02,1.472238835448550633e-05
1.100000000000000000e+02,1.000105351969513285e+05,1.212116015959873616e+00,3.398715394615853143e+02,1.473397183017659067e-05
1.200000000000000000e+02,9.989172870450094342e+04,1.210949927111335311e+00,3.398331097317175136e+02,1.474556685474346977e-05
1.300000000000000000e+02,9.977303689332077920e+04,1.209784700340504005e+00,3.397946757764935342e+02,1.475717344215212282e-05
1.400000000000000000e+02,9.965445967817430210e+04,1.208620335201333829e+00,3.397562375944789324e+02,1.476879160638841563e-05
1.500000000000000000e+02,9.953599697386947810e+04,1.207456831247912143e+00,3.397177951842382413e+02,1.478042136145812779e-05
1.600000000000000000e+02,9.941764869525886024e+04,1.206294188034458426e+00,3.396793485443354257e+02,1.479206272138697292e-05
1.700000000000000000e+02,9.929941475723957410e+04,1.205132405115326932e+00,3.396408976733335976e+02,1.480371570022063432e-05
1.800000000000000000e+02,9.918129507475312857e+04,1.203971482045002261e+00,3.396024425697949027e+02,1.481538031202480389e-05
1.900000000000000000e+02,9.906328956278556143e+04,1.202811418378102903e+00,3.395639832322808616e+02,1.482705657088522111e-05
2.000000000000000000e+02,9.894539813636741019e+04,1.201652213669380576e+00,3.395255196593520282e+02,1.483874449090768828e-05
2.100000000000000000e+02,9.882762071057356661e+04,1.200493867473717780e+00,3.394870518495683314e+02,1.485044408621812473e-05
2.200000000000000000e+02,9.870995720052345132e+04,1.199336379346131132e+00,3.394485798014886768e+02,1.486215537096257531e-05
2.300000000000000000e+02,9.859240752138095559e+04,1.198179748841770476e+00,3.394101035136712881e+02,1.487387835930725270e-05
2.400000000000000000e+02,9.847497158835426671e+04,1.197023975515916883e+00,3.393716229846736496e+02,1.488561306543859165e-05
